Field Description,Name in Grib2 Control File,Grib2 pname,UPP ID
Average low cloud top temperature,AVE_TMP_ON_LOW_CLOUD_TOP_LVL,TMP,305
Average mid cloud bottom pressure,AVE_PRES_ON_MID_CLOUD_BOT_LVL,PRES,306
Average mid cloud top pressure,AVE_PRES_ON_MID_CLOUD_TOP_LVL,PRES,307
Average mid cloud top temperature,AVE_TMP_ON_MID_CLOUD_TOP_LVL,TMP,308
Average high cloud bottom pressure,AVE_PRES_ON_HIGH_CLOUD_BOT_LVL,PRES,309
Average high cloud top pressure,AVE_PRES_ON_HIGH_CLOUD_TOP_LVL,PRES,310
Average high cloud top temperature,AVE_TMP_ON_HIGH_CLOUD_TOP_LVL,TMP,311
Total column relative humidity,RH_ON_ENTIRE_ATMOS_SINGLE_LYR,RH,312
Cloud work function,AVE_CWORK_ON_ENTIRE_ATMOS_SINGLE_LYR,CWORK,313
Temperature at maximum wind level,TMP_ON_MAX_WIND,TMP,314
Time averaged zonal gravity wave stress,AVE_U-GWD_ON_SURFACE,U-GWD,315
Time averaged meridional gravity wave stress,AVE_V-GWD_ON_SURFACE,V-GWD,316
Average precipitation type,AVE_CRAIN_ON_SURFACE,CRAIN,317
**Relative humidity on sigma level 0.44-1.0**,RH_ON_SIGMA_LVL_0.44-1.0,RH,318
**Relative humidity on sigma level 0.72-0.94**,RH_ON_SIGMA_LVL_0.72-0.94,RH,319
**Relative humidity on sigma level 0.44-0.72**,RH_ON_SIGMA_LVL_0.44-0.72,RH,320
**Temperature on sigma level 0.9950**,TMP_ON_SIGMA_LVL_0.9950,TMP,321
**Potential temperature on sigma level 0.9950**,POT_ON_SIGMA_LVL_0.9950,POT,322
**Relative humidity on sigma level 0.9950**,RH_ON_SIGMA_LVL_0.9950,RH,323
**U-wind at sigma level 0.9950**,UGRD_ON_SIGMA_LVL_0.9950,UGRD,324
**V-wind at sigma level 0.9950**,VGRD_ON_SIGMA_LVL_0.9950,VGRD,325
**Omega at sigma level 0.9950**,VVEL_ON_SIGMA_LVL_0.9950,VVEL,326
Simulated GOES 12 channel 2 brightness temperature,SBT122_ON_TOP_OF_ATMOS,SBT122,327
Simulated GOES 12 channel 3 brightness temperature,SBT123_ON_TOP_OF_ATMOS,SBT123,328
Simulated GOES 12 channel 4 brightness temperature,SBT124_ON_TOP_OF_ATMOS,SBT124,329
Simulated GOES 12 channel 5 brightness temperature,SBT126_ON_TOP_OF_ATMOS,SBT126,330
Cloud fraction on pressure surface,TCDC_ON_ISOBARIC_SFC,TCDC,331
U-wind on theta surface,UGRD_ON_ISENTROPIC_LVL,UGRD,332
V-wind on theta surface,VGRD_ON_ISENTROPIC_LVL,VGRD,333
Temperature on theta surface,TMP_ON_ISENTROPIC_LVL,TMP,334
Potential vorticity on theta surface,PVORT_ON_ISENTROPIC_LVL,PVORT,335
Montgomery streamfunction on theta surface,MNTSF_ON_ISENTROPIC_LVL,MNTSF,353
Relative humidity on theta surface,RH_ON_ISENTROPIC_LVL,RH,352
**???**,LAPR_ON_ISENTROPIC_LVL,LAPR,351
U wind on constant PV surface,UGRD_ON_POT_VORT_SFC,UGRD,336
V wind on constant PV surface,VGRD_ON_POT_VORT_SFC,VGRD,337
Temperature on constant PV surface,TMP_ON_POT_VORT_SFC,TMP,338
Height on constant PV surface,HGT_ON_POT_VORT_SFC,HGT,339
Pressure on constant PV surface,PRES_ON_POT_VORT_SFC,PRES,340
Wind shear on constant PV surface,VWSH_ON_POT_VORT_SFC,VWSH,341
Planetary boundary layer cloud fraction,AVE_TCDC_ON_BOUND_LYR_CLOUD_LYR,TCDC,342
Average water runoff,ACM_WATR_ON_SURFACE,WATR,343
Planetary boundary layer regime,PBLREG_ON_SURFACE,PBLREG,344
Maximum 2m temperature,MAX_TMAX_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,TMAX,345
Minimum 2m temperature,MIN_TMIN_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,TMIN,346
Maximum 2m RH,MAX_MAXRH_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,MAXRH,347
Minimum 2m RH,MIN_MINRH_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,MINRH,348
Ice thickness,ICETK_ON_SURFACE,ICETK,349
Shortwave tendency on pressure surface,SWHR_ON_ISOBARIC_SFC,SWHR,354
Longwave tendency on pressure surface,LWHR_ON_ISOBARIC_SFC,LWHR,355
**???**,VDFHR_ON_ISOBARIC_SFC,VDFHR,356
Deep convective tendency on pressure surface,CNVHR_ON_ISOBARIC_SFC,CNVHR,357
Shallow convective tendency on pressure surface,SHAHR_ON_ISOBARIC_SFC,SHAHR,358
Grid scale tendency on pressure surface,LRGHR_ON_ISOBARIC_SFC,LRGHR,359
**???**,VDFMR_ON_ISOBARIC_SFC,VDFMR,360
Deep convective moisture on pressure surface,CNVMR_ON_ISOBARIC_SFC,CNVMR,361
Shallow convective moisture on pressure surface,SHAMR_ON_ISOBARIC_SFC,SHAMR,362
**???**,LRGMR_ON_ISOBARIC_SFC,LRGMR,363
**???**,VDFOZ_ON_ISOBARIC_SFC,VDFOZ,364
**???**,POZ_ON_ISOBARIC_SFC,POZ,365
Ozone tendency on pressure surface,TOZ_ON_ISOBARIC_SFC,TOZ,366
Mass weighted potential vorticity,PVMW_ON_ISOBARIC_SFC,PVMW,367
**???**,SNOT_ON_ISOBARIC_SFC,SNOT,368
**???**,VDFUA_ON_ISOBARIC_SFC,VDFUA,369
**???**,GWDU_ON_ISOBARIC_SFC,GWDU,370
**???**,CNVU_ON_ISOBARIC_SFC,CNVU,371
**???**,VDFVA_ON_ISOBARIC_SFC,VDFVA,372
**???**,GWDV_ON_ISOBARIC_SFC,GWDV,373
**???**,CNVV_ON_ISOBARIC_SFC,CNVV,374
**???**,CDLYR_ON_ISOBARIC_SFC,CDLYR,375
Simulated GOES 12 channel 3 brightness count,SBC123_ON_TOP_OF_ATMOS,SBC123,376
Simulated GOES 12 channel 4 brightness count,SBC124_ON_TOP_OF_ATMOS,SBC124,377
Omega on theta surface,VVEL_ON_ISENTROPIC_LVL,VVEL,378
**???**,TTDIA_ON_ISOBARIC_SFC,TTDIA,379
**???**,VEDH_ON_HYBRID_LVL,VEDH,380
Mixing height,MIXHT_ON_SURFACE,MIXHT,381
Average clear-sky incoming longwave at surface,AVE_CSDLF_ON_SURFACE,CSDLF,382
Average clear-sky incoming shortwave at surface,AVE_CSDSF_ON_SURFACE,CSDSF,383
Average clear-sky outgoing longwave at surface,AVE_CSULF_ON_SURFACE,CSULF,384
Average clear-sky outgoing longwave at top of atmosphere,AVE_CSULF_ON_TOP_OF_ATMOS,CSULF,385
Average clear-sky outgoing shortwave at surface,AVE_CSUSF_ON_SURFACE,CSUSF,386
Average clear-sky outgoing shortwave at top of atmosphere,AVE_CSUSF_ON_TOP_OF_ATMOS,CSUSF,387
Average incoming shortwave at top of atmosphere,AVE_DSWRF_ON_TOP_OF_ATMOS,DSWRF,388
Transport wind u component,UGRD_ON_PLANETARY_BOUND_LYR,UGRD,389
Transport wind v component,VGRD_ON_PLANETARY_BOUND_LYR,VGRD,390
**???**,CNVUMF_ON_ISOBARIC_SFC,CNVUMF,391
**???**,CNVDMF_ON_ISOBARIC_SFC,CNVDMF,392
**???**,CNVEMF_ON_ISOBARIC_SFC,CNVEMF,393
**???**,CNVWDU_ON_ISOBARIC_SFC,CNVWDU,394
**???**,CNVWDV_ON_ISOBARIC_SFC,CNVWDV,395
Sunshine duration,SUNSD_ON_SURFACE,SUNSD,396
Field capacity,FLDCP_ON_SURFACE,FLDCP,397
ICAO height at maximum wind level,ICAHT_ON_MAX_WIND,ICAHT,398
ICAO height at tropopause,ICAHT_ON_TROPOPAUSE,ICAHT,399
Radar echo top,RETOP_ON_ENTIRE_ATMOS_SINGLE_LYR,RETOP,400
Time averaged surface Visible beam downward solar flux,AVE_VBDSF_ON_SURFACE,VBDSF,401
Time averaged surface Visible diffuse downward solar flux,AVE_VDDSF_ON_SURFACE,VDDSF,402
Time averaged surface Near IR beam downward solar flux,AVE_NBDSF_ON_SURFACE,NBDSF,403
Time averaged surface Near IR diffuse downward solar flux,AVE_NDDSF_ON_SURFACE,NDDSF,404
Average snowfall rate,AVE_SRWEQ_ON_SURFACE,SRWEQ,405
**???**,GSD_INST_CRAIN_ON_SURFACE,CRAIN,407
Dust 1 on pressure surface,DUST1_ON_ISOBARIC_LVL,MASSMR,438
Dust 2 on pressure surface,DUST2_ON_ISOBARIC_LVL,MASSMR,439
Dust 3 on pressure surface,DUST3_ON_ISOBARIC_LVL,MASSMR,440
Dust 4 on pressure surface,DUST4_ON_ISOBARIC_LVL,MASSMR,441
Dust 5 on pressure surface,DUST5_ON_ISOBARIC_LVL,MASSMR,442
Equilibrium level height,HGT_ON_EQUIL_LVL,HGT,443
Lightning,LTNG_ON_SURFACE,LTNG,444
Goes west channel 2 brightness temperature,SBT112_ON_TOP_OF_ATMOS,SBT112,446
Goes west channel 3 brightness temperature,SBT113_ON_TOP_OF_ATMOS,SBT113,447
Goes west channel 4 brightness temperature,SBT114_ON_TOP_OF_ATMOS,SBT114,448
Goes west channel 5 brightness temperature,SBT115_ON_TOP_OF_ATMOS,SBT115,449
In flight icing from NCAR algorithm,ICIP_ON_ISOBARIC_SFC,ICIP,450
Specific humidity at flight levels,SPFH_ON_SPEC_ALT_ABOVE_MEAN_SEA_LVL,SPFH,451
Virtual temperature based convective available potential energy,VTCAPE_ON_SURFACE,CAPE,452
Virtual temperature based convective inhibition,VTCIN_ON_SURFACE,CIN,453
Virtual temperature on model surfaces,Not currently available for grib2,NA,909
Virtual temperature on pressure surfaces,Not currently available for grib2,NA,910
Virtual temperature on flight levels,Not currently available for grib2,NA,911
Ventilation rate,VRATE_ON_PLANETARY_BOUND_LYR,VRATE,454
Haines index,HINDEX_ON_SURFACE,HINDEX,455
**???**,EDPARM_ON_ISOBARIC_SFC,EDPARM,464
**???**,CAT_ON_ISOBARIC_SFC,CATEDR,465
**???**,MWTURB_ON_ISOBARIC_SFC,MWTURB,466
**???**,EDPARM_GTG_ON_SPEC_ALT_ABOVE_MEAN_SEA_LVL,EDPARM,467
**???**,CAT_GTG_ON_SPEC_ALT_ABOVE_MEAN_SEA_LVL,CATEDR,468
**???**,MWTURB_GTG_ON_SPEC_ALT_ABOVE_MEAN_SEA_LVL,MWTURB,469
**???**,EDPARM_ON_HYBRID_LVL,EDPARM,470
**???**,CAT_ON_HYBRID_LVL,CATEDR,471
**???**,MWTURB_ON_HYBRID_LVL,MWTURB,472
**???**,CBHE_ON_ENTIRE_ATMOS,CBHE,473
**???**,ICAHT_ON_CB_BASE,ICAHT,474
**???**,ICAHT_ON_CB_TOP,ICAHT,475
**???**,EDPARM_GTG_ON_ICAO_STD_SFC,EDPARM,476
**???**,CAT_GTG_ON_ICAO_STD_SFC,CATEDR,477
**???**,MWTURB_GTG_ON_ICAO_STD_SFC,MWTURB,478
**Icing severity on standard atmospheric isobaric levels**,ICESEV_ON_ICAO_STD_SFC,ICESEV,479
**???**,ICESEV_ON_ISOBARIC_SFC,ICESEV,480
**???** Total Icing Potential Diagnostic on standard atmospheric isobaric sfc?,ICIP_ON_ICAO_STD_SFC,ICIP,481
Pressure at flight levels,PRES_ON_SPEC_ALT_ABOVE_MEAN_SEA_LVL,PRES,482
Time-averaged percentage snow cover,AVE_SNOWC_ON_SURFACE,SNOWC,500
Time-averaged surface pressure,AVE_PRES_ON_SURFACE,PRES,501
Time-averaged 10m temperature,AVE_TMP_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,TMP,502
Time-averaged mass exchange coefficient,AVE_AKHS_ON_SURFACE,AKHS,503
Time-averaged wind exchange coefficient,AVE_AKMS_ON_SURFACE,AKMS,504
Temperature at 10m,TMP_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,TMP,505
Maximum U-component wind at 10m,MAX_MAXUW_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,MAXUW,506
Maximum V-component wind at 10m,MAX_MAXVW_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,MAXVW,507
**???** Maximum Precipitation Rate on surface?,MAX_PRATE_ON_SURFACE,PRATE,508
**???**,MAX_QMAX_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,QMAX,510
**???**,MIN_QMIN_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,QMIN,511
**???**,ACOND_ON_SURFACE,ACOND,512
**???**,AVE_EVCW_ON_SURFACE,EVCW,513
**???**,AVE_EVBS_ON_SURFACE,EVBS,514
**???**,AVE_TRANS_ON_SURFACE,TRANS,515
**???**,AVE_SBSNO_ON_SURFACE,SBSNO,516
**???**,AVE_PEVPR_ON_SURFACE,PEVPR,517
**???**,HGT_ON_ICAO_STD_SFC,HGT,518
**???**,TMP_ON_ICAO_STD_SFC,TMP,519
**???**,UGRD_ON_ICAO_STD_SFC,UGRD,520
**???**,VGRD_ON_ICAO_STD_SFC,VGRD,521
**Bucket total precipitation on surface**,BUCKET1_APCP_ON_SURFACE,APCP,526
**Bucket convective precipitation on surface**,BUCKET1_ACPCP_ON_SURFACE,ACPCP,527
**Bucket large scale precipitation on surface**,BUCKET1_NCPCP_ON_SURFACE,NCPCP,528
**Bucket snow precipitation on surface**,BUCKET1_WEASD_ON_SURFACE,WEASD,529
**Bucket graupel precipitation on surface**,BUCKET1_GRAUPEL_ON_SURFACE,FROZR,530
**???**,SBTA187_ON_TOP_OF_ATMOS,SBTA187,531
**???**,SBTA188_ON_TOP_OF_ATMOS,SBTA188,532
**???**,SBTA189_ON_TOP_OF_ATMOS,SBTA189,533
**???**,SBTA1810_ON_TOP_OF_ATMOS,SBTA1810,534
**???**,SBTA1811_ON_TOP_OF_ATMOS,SBTA1811,535
**???**,SBTA1812_ON_TOP_OF_ATMOS,SBTA1812,536
**???**,SBTA1813_ON_TOP_OF_ATMOS,SBTA1813,537
**???**,SBTA1814_ON_TOP_OF_ATMOS,SBTA1814,538
**???**,SBTA1815_ON_TOP_OF_ATMOS,SBTA1815,539
**???**,SBTA1816_ON_TOP_OF_ATMOS,SBTA1816,540
**???**,GSD_POT_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,POT,546
**???**,GSD_DEPR_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,DEPR,547
**???**,GSD_EPOT_ON_SURFACE,EPOT,548
**???**,FDNSSTMP_ON_SURFACE,FDNSSTMP,549
**Categorical snow on surface**,CSNOW_ON_SURFACE,CSNOW,551
**Categorical ice pellets on surface**,CICEP_ON_SURFACE,CICEP,552
**Categorical freezing rain on surface**,CFRZR_ON_SURFACE,CFRZR,553
**average Categorical snow on surface**,AVE_CSNOW_ON_SURFACE,CSNOW,555
**average Categorical ice pellets on surface**,AVE_CICEP_ON_SURFACE,CICEP,556
**average Categorical freezing rain on surface**,AVE_CFRZR_ON_SURFACE,CFRZR,557
**GSD_Categorical snow on surface**,GSD_CSNOW_ON_SURFACE,CSNOW,559
**GSD_Categorical ice pellets on surface**,GSD_CICEP_ON_SURFACE,CICEP,560
**GSD_Categorical freezing rain on surface**,GSD_CFRZR_ON_SURFACE,CFRZR,561
**GSD_average Categorical snow on surface**,GSD_AVE_CSNOW_ON_SURFACE,CSNOW,563
**GSD_average Categorical ice pellets on surface**,GSD_AVE_CICEP_ON_SURFACE,CICEP,564
**GSD_average Categorical freezing rain on surface**,GSD_AVE_CFRZR_ON_SURFACE,CFRZR,565
**???**,BEST_CAPE_ON_SPEC_PRES_ABOVE_GRND,CAPE,566
**???**,BEST_CIN_ON_SPEC_PRES_ABOVE_GRND,CIN,567
**???**,GFS_PRES_ON_MEAN_SEA_LVL,PRES,568
**???**,GFS_AVE_TCDC_ON_CONVECTIVE_CLOUD_LYR,TCDC,569
**???**,GFS_TCDC_ON_CONVECTIVE_CLOUD_LYR,TCDC,570
Simulated GOES 12 channel 2 brightness temperature with satellite angle correction,NON_NADIR_SBT122_ON_TOP_OF_ATMOS,SBT122,456
Simulated GOES 12 channel 3 brightness temperature with satellite angle correction,NON_NADIR_SBT123_ON_TOP_OF_ATMOS,SBT123,457
Simulated GOES 12 channel 4 brightness temperature with satellite angle correction,NON_NADIR_SBT124_ON_TOP_OF_ATMOS,SBT124,458
Simulated GOES 12 channel 5 brightness temperature with satellite angle correction,NON_NADIR_SBT126_ON_TOP_OF_ATMOS,SBT126,459
Simulated GOES 11 channel 2 brightness temperature with satellite angle correction,SBT112_ON_TOP_OF_ATMOS,SBT112,460
Simulated GOES 11 channel 3 brightness temperature with satellite angle correction,SBT113_ON_TOP_OF_ATMOS,SBT113,461
Simulated GOES 11 channel 4 brightness temperature with satellite angle correction,SBT114_ON_TOP_OF_ATMOS,SBT114,462
Simulated GOES 11 channel 5 brightness temperature with satellite angle correction,SBT115_ON_TOP_OF_ATMOS,SBT115,463
Simulated GOES 15 channel 5 brightness temperature with satellite angle correction,Not currently available for grib2,NA,872
Simulated GOES 13 channel 2 brightness temperature with satellite angle correction,Not currently available for grib2,NA,868
Simulated AMSR-E channel 9 brightness temperature,AMSRE9_ON_TOP_OF_ATMOS,AMSRE9,483
Simulated AMSR-E channel 10 brightness temperature,AMSRE10_ON_TOP_OF_ATMOS,AMSRE10,484
Simulated AMSR-E channel 11 brightness temperature,AMSRE11_ON_TOP_OF_ATMOS,AMSRE11,485
Simulated AMSR-E channel 12 brightness temperature,AMSRE12_ON_TOP_OF_ATMOS,AMSRE12,486
**???**,GSD_EXP_CEILING,CEIL,487
**Simulated Brightness Temperature for TMI TRMM channel 6 on top of atmosphere**,TMITB6_ON_TOP_OF_ATMOS,AMSRE9,488
**Simulated Brightness Temperature for TMI TRMM channel 7 on top of atmosphere**,TMITB7_ON_TOP_OF_ATMOS,AMSRE10,489
**Simulated Brightness Temperature for TMI TRMM channel 8 on top of atmosphere**,TMITB8_ON_TOP_OF_ATMOS,AMSRE11,490
**Simulated Brightness Temperature for TMI TRMM channel 9 on top of atmosphere**,TMITB9_ON_TOP_OF_ATMOS,AMSRE12,491
**Simulated Brightness Temperature for SSMI TB channel 4 on top of atmosphere**,SSMITB4_ON_TOP_OF_ATMOS,AMSRE9,492
**Simulated Brightness Temperature for SSMI TB channel 5 on top of atmosphere**,SSMITB5_ON_TOP_OF_ATMOS,AMSRE10,493
**Simulated Brightness Temperature for SSMI TB channel 6 on top of atmosphere**,SSMITB6_ON_TOP_OF_ATMOS,AMSRE11,494
**Simulated Brightness Temperature for SSMI TB channel 7 on top of atmosphere**,SSMITB7_ON_TOP_OF_ATMOS,AMSRE12,495
**Simulated Brightness Temperature for SSMIS TB channel 15 on top of atmosphere**,SSMISTB15_ON_TOP_OF_ATMOS,AMSRE9,496
**Simulated Brightness Temperature for SSMIS TB channel 16 on top of atmosphere**,SSMISTB16_ON_TOP_OF_ATMOS,AMSRE10,497
**Simulated Brightness Temperature for SSMIS TB channel 17 on top of atmosphere**,SSMISTB17_ON_TOP_OF_ATMOS,AMSRE11,498
**Simulated Brightness Temperature for SSMIS TB channel 18 on top of atmosphere**,SSMISTB18_ON_TOP_OF_ATMOS,AMSRE12,499
**???**,UGRD_ON_SPEC_HGT_LVL_ABOVE_GRND_FDHGT,UGRD,576
**???**,VGRD_ON_SPEC_HGT_LVL_ABOVE_GRND_FDHGT,VGRD,577
**???**,SPFH_ON_SPEC_HGT_LVL_ABOVE_GRND_FDHGT,SPFH,578
**???**,PRES_ON_SPEC_HGT_LVL_ABOVE_GRND_FDHGT,PRES,579
**???**,ICI_ON_SPEC_ALT_ABOVE_MEAN_SEA_LVL_FDHGT,ICI,580
**Entire Atmosphere Vertically Integrated Liquid (kg/m-2)**,VIL_ON_ENTIRE_ATMOS,VIL,581
**???**,MIXED_LAYER_CAPE_ON_SPEC_PRES_ABOVE_GRND,CAPE,582
**???**,MIXED_LAYER_CIN_ON_SPEC_PRES_ABOVE_GRND,CIN,583
**???**,UNSTABLE_CAPE_ON_SPEC_PRES_ABOVE_GRND,CAPE,584
**???**,UNSTABLE_CIN_ON_SPEC_PRES_ABOVE_GRND,CIN,585
**???**,TMP_ON_SPEC_HGT_LVL_ABOVE_GRND_FDHGT,TMP,586
**???**,ICI_ON_SPEC_HGT_LVL_ABOVE_GRND_FDHGT,ICI,587
**???**,ICEG_ON_SPEC_ALT_ABOVE_MEAN_SEA_LVL,ICEG,588
**???**,AER_OPT_GFS_at550,AOTK,600
**???**,DUST_AER_OPT_GFS_at550,AOTK,601
**???**,SEASALT_AER_OPT_GFS_at550,AOTK,602
**???**,SULFATE_AER_OPT_GFS_at550,AOTK,603
**???**,ORGANIC_CARBON_AER_OPT_GFS_at550,AOTK,604
**???**,BLACK_CARBON_AER_OPT_GFS_at550,AOTK,605
**???**,AECOEF_ON_HYBRID_LVL,AECOFF,606
**???**,ASYSFK_ON_HYBRID_LVL,ASYSFK,607
**???**,SSALBK_ON_HYBRID_LVL,SSALBK,608
**???**,AER_OPT_DEP_at550,AOTK,609
**???**,DUST_AER_OPT_DEP_at550,AOTK,610
**???**,SEASALT_AER_OPT_DEP_at550,AOTK,611
**???**,SULFATE_AER_OPT_DEP_at550,AOTK,612
**???**,ORGANIC_CARBON_AER_OPT_DEP_at550,AOTK,613
**???**,BLACK_CARBON_AER_OPT_DEP_at550,AOTK,614
**???**,NITRATE_AER_OPT_DEP_at550,AOTK,615
**???**,BC_COL_MASS_DEN,COLMD,616
**???**,OC_COL_MASS_DEN,COLMD,617
**???**,SULF_COL_MASS_DEN,COLMD,618
**???**,PM10_SFC_MASS_CON,PMTC,619
**???**,PM25_SFC_MASS_CON,PMTF,620
**???**,PM10_COL_MASS_DEN,COLMD,621
**???**,PM25_COL_MASS_DEN,COLMD,622
**???**,AER_OPT_DEP_at340,AOTK,623
**???**,AER_OPT_DEP_at440,AOTK,624
**???**,AER_OPT_DEP_at660,AOTK,625
**???**,AER_OPT_DEP_at860,AOTK,626
**???**,AER_OPT_DEP_at1630,AOTK,627
**???**,AER_OPT_DEP_at11100,AOTK,628
**???**,DUST1_ON_HYBRID_LVL,PMTF,629
**???**,DUST2_ON_HYBRID_LVL,PMTF,630
**???**,DUST3_ON_HYBRID_LVL,PMTC,631
**???**,DUST4_ON_HYBRID_LVL,PMTC,632
**???**,DUST5_ON_HYBRID_LVL,PMTC,633
**???**,SEASALT1_ON_HYBRID_LVL,PMTF,634
**???**,SEASALT2_ON_HYBRID_LVL,PMTF,635
**???**,SEASALT3_ON_HYBRID_LVL,PMTC,636
**???**,SEASALT4_ON_HYBRID_LVL,PMTC,637
**???**,SEASALT5_ON_HYBRID_LVL,PMTC,638
**???**,SO4_ON_HYBRID_LVL,PMTF,639
**???**,OCPHOBIC_ON_HYBRID_LVL,PMTF,640
**???**,OCPHILIC_ON_HYBRID_LVL,PMTF,641
**???**,BCPHOBIC_ON_HYBRID_LVL,PMTF,642
**???**,BCPHILIC_ON_HYBRID_LVL,PMTF,643
**???**,AIR_DENSITY_ON_HYBRID_LVL,DEN,644
**???**,LAYER_THICKNESS_ON_HYBRID_LVL,THICK,645
**???**,DUST_COL_MASS_DEN,COLMD,646
**???**,SEAS_COL_MASS_DEN,COLMD,647
**???**,SINGLE_SCAT_ALBD_at340,SSALBK,648
**???**,AER_ASYM_FACTOR_at340,ASYSFK,649
**???**,AER_SCAT_OPT_DEP_at550,SCTAOTK,650
**???**,DUST_AER_SCAT_OPT_DEP_at550,SCTAOTK,651
**???**,SEASALT_AER_SCAT_OPT_DEP_at550,SCTAOTK,652
**???**,SULFATE_AER_SCAT_OPT_DEP_at550,SCTAOTK,653
**???**,ORGANIC_CARBON_AER_SCAT_OPT_DEP_at550,SCTAOTK,654
**???**,BLACK_CARBON_AER_SCAT_OPT_DEP_at550,SCTAOTK,655
**???**,ANGSTROM_EXP_at440_860,ANGSTEXP,656
**???**,NO3_COL_MASS_DEN,COLMD,657
**???**,NH4_COL_MASS_DEN,COLMD,658
**???**,DUST_EMISSION_FLUX,AEMFLX,659
**???**,DUST_SEDIMENTATION_FLUX,SEDMFLX,660
**???**,DUST DRY DEPOSITION,DDMFLX,661
**???**,DUST WET DEPOSITION,WLSMFLX,662
**???**,SEASALT_EMISSION_FLUX,AEMFLX,663
**???**,SEASALT_SEDIMENTATION_FLUX,SEDMFLX,664
**???**,SEASALT_DRY_DEPOSITION_FLUX,DDMFLX,665
**???**,SEASALT_WET_DEPOSITION_FLUX,WLSMFLX,666
**???**,BLACK_CARBON_EMISSION_FLUX,AEMFLX,667
**???**,BLACK_CARBON_SEDIMENTATION_FLUX,SEDMFLX,668
**???**,BLACK_CARBON_DRY_DEPOSITION_FLUX,DDMFLX,669
**???**,BLACK_CARBON_WET_DEPOSITION_FLUX,WLSMFLX,670
**???**,ORGANIC_CARBON_EMISSION_FLUX,AEMFLX,671
**???**,ORGANIC_CARBON_SEDIMENTATION_FLUX,SEDMFLX,672
**???**,ORGANIC_CARBON_DRY_DEPOSITION_FLUX,DDMFLX,673
**???**,ORGANIC_CARBON_WET_DEPOSITION_FLUX,WLSMFLX,674
**???**,SULFATE_EMISSION_FLUX,AEMFLX,675
**???**,SULFATE_SEDIMENTATION_FLUX,SEDMFLX,676
**???**,SULFATE_DRY_DEPOSITION_FLUX,DDMFLX,677
**???**,SULFATE_WET_DEPOSITION_FLUX,WLSMFLX,678
**???**,DUST_SCAVENGING_FLUX,WDCPMFLX,679
**???**,SEASALT_SCAVENGING_FLUX,WDCPMFLX,680
**???**,BLACK_CARBON_SCAVENGING_FLUX,WDCPMFLX,681
**???**,ORGANIC_CARBON_SCAVENGING_FLUX,WDCPMFLX,682
**???**,SS_CR_AER_SFC_MASS_CON,MASSDEN,683
**???**,SEAS25_SFC_MASS_CON,PMTF,684
**???**,DUST10_SFC_MASS_CON,PMTC,685
**???**,DUST25_SFC_MASS_CON,PMTF,686
**???**,NITRATE_AER_SCAT_OPT_DEP_at550,SCTAOTK,687
**???**,NO3_ON_HYBRID_LVL,PMTF,688
**???**,NH4_ON_HYBRID_LVL,PMTF,689
**???**,SU_AER_SFC_MASS_CON,MASSDEN,689
**???**,INST_SU_AER_SFC_MASS_CON,MASSDEN,690
**???**,INST_OC_AER_SFC_MASS_CON,MASSDEN,691
**???**,INST_BC_AER_SFC_MASS_CON,MASSDEN,692
**???**,INST_DU_CR_AER_SFC_MASS_CON,MASSDEN,693
**???**,INST_DU_FN_AER_SFC_MASS_CON,MASSDEN,694
**???**,INST_SS_CR_AER_SFC_MASS_CON,MASSDEN,695
**???**,INST_SS_FN_AER_SFC_MASS_CON,MASSDEN,696
**???**,INST_CR_AER_SFC_MASS_CON,MASSDEN,697
**???**,INST_FN_AER_SFC_MASS_CON,MASSDEN,698
**???**,MIE_OPT_DEP_at550,AOTK,699
**???**,GSD_MAX_UPHL_ON_SPEC_HGT_LVL_ABOVE_GRND_1-6km,MXUPHL,700
**???**,GSD_UPHL_ON_SPEC_HGT_LVL_ABOVE_GRND_1-6km,UPHL,701
**???**,GSD_MAX_LTG_THREAT1_ON_SPEC_HGT_LVL_ABOVE_GRND,LTNGSD,702
**???**,GSD_MAX_LTG_THREAT2_ON_SPEC_HGT_LVL_ABOVE_GRND,LTNGSD,703
**???**,GSD_MAX_LTG_THREAT3_ON_ENTIRE_ATMOS,LTNG,704
GSD_Convective Initiation Lightning,GSD_NCI_LTG_ON_ENTIRE_ATMOS,NCILTG,705
GSD_Convective Activity Lightning,GSD_NCA_LTG_ON_ENTIRE_ATMOS,NCALTG,706
GSD_Convective Initiation Vertical Hydrometeor Flux,GSD_NCI_WQ_ON_ENTIRE_ATMOS,NCIWQ,707
GSD_Convective Activity Vertical Hydrometeor Flux,GSD_NCA_WQ_ON_ENTIRE_ATMOS,NCAWQ,708
